title,price
北京鸟巢水立方长城圆明园天安门豪华套房,458
大床房,438
李家小宅舒适双床房,468
家原5号 近中关村 可加床 可做饭,388
古北水镇谷色之家双卫温馨家庭房2号店,438
西四环边慈寿寺地铁欧式家具大开间可做饭,368
近国贸、北京站、天坛10号线地铁高端公寓,428
地铁惠新西街南口附近温馨两居,488
京宿2北京站旁近天安门故宫协和同仁小两居,698
卜丁小屋（南站附近大两居舒适住房）,498
天安门 故宫 天坛 同仁医院王府井,528
绿野仙踪·仙  精选特色一居,258
月租#67近市中心国贸CBD高档温馨三居,658
国贸双井CBD苹果社区北区豪华大床房,438
大悦城@6号线青年路站@现代简约风格小屋,417
CBD国贸百子湾欧式梦幻一室一厅,498
（爱之家公寓）温馨两居室空调房,418
北京南站附近西单4号线角门博爱医院1,379
ABBA【奇幻暖屋】望京悠乐汇 温馨1居,439
回家公寓双大床地铁上盖近西站西单天安门,499
鸟巢中科院国家会议中心地铁15号北沙滩站,668
青年路地铁6号线大悦城青年汇佳园一居室,478
紧邻西站，南站，中国戏曲学院，丽泽商务区,408
免费接送机 首都机场 温馨两居 地铁站,488
阳光套房，近天安门故宫王府井天坛、地铁旁,598
西站马连道茶贸湾子地铁儿童医院温馨一居室,296
北京站天安门故宫同仁协和舒适电梯套房,538
国贸 四惠 传媒大学 地铁站【怡然屋】,238
北京天安门西单儿童医院温馨一居,418
现代loft跃层一居室,398
6号线朝阳大悦城青年路110平精装两居,758
古北水镇长城景观房,399
通州6号线友谊医院两居房整租,249
科技大学精品复式,468
【繁华入夢】首都国际机场Loft复式公寓,498
百子湾英伦风公寓,398
【南锣鼓巷】鼓楼/后海/恭王府怀旧一居室,588
30分钟直达南锣鼓巷天安门榻榻米阳光房,520
5号线宋家庄95平精装公寓近南苑机场旧宫,319
次渠亦庄万科地产V公馆精装大房,448
顺义新城马坡地区精装高档社区,438
古北水镇君泰美宿,398
良乡大学城.时代广场.LOFT.长短租,258
乐家☞豪华景观复式大床房,299
常楹大厦自由派,308
东直门三元桥附近 粉色系浪漫温馨两居室,550
离10号线仅30米靠近国贸、天坛及南站,398
酒仙桥望京近将台地铁798中式一居公寓,388
近首都机场和新国展主题三居转机住免费接送,568
小猫家（大观园，南站、西站、天安门）,589
建国门商圈、七号线广渠门地铁站温馨家园,658
6号线青年路站大悦城，朝阳体育馆妇产医院,428
十渡观景圆床房,208
温馨小家不二之选：北京南站双地铁,358
朝阳大悦城商圈近酒仙桥798文艺风格小屋,338
北京望京悠乐汇清迈公寓,488
天安门新世界旁国瑞城海洋风格一居,449
国贸商圈四惠地铁站舒适小居,368
北京301医院西站天安门温馨小家,499
幽蘭苑(墨兰，惠兰，寒兰各1居),438
首都机场新国展祥云小镇商务一居,366
地铁7号线近欢乐谷、国际网球中心温馨两居,399
北京昌平城区繁华地段,249
缘来安逸轩 京都快乐行 经海路地铁旁三居,458
三里屯太古里、使馆区特色派对大床房！,580
【粉系马卡龙】近南站地铁4号西单南苑机场,468
国展西坝河太阳宫十号线温馨二居,528
【简约】紧邻地铁的简约格调温馨小屋,345
北京古北水镇超大床书香庭院套房,488
6/2号线 阜外医院 金融街精品中式一居,495
【798】将台站/恒通商务园现代舒适一居,408
亦庄地铁阳光温馨精装两居可停车 住7人,588
北京南站公益西桥地铁角门欧式小区一室一厅,398
近天安门王府井天坛257地铁站温馨套房,598
双地铁六里桥301医院北京西站,468
酒仙桥798／地铁旁禅意榻榻米大床房,468
天安门故宫同仁协和附近地铁电梯房,558
雅居01两居4号线地铁口北京南站颐和园等,498
高碑店 传媒大学 地铁站【自得屋】,258
家原4号 近五棵松 可洗衣 可做饭,388
回家公寓2双大床房天安门故宫王府井,599
欧式简约公寓大床房亚运村慧忠路鸟巢,439
BEAA【奇幻暖屋】望京金色黎明温馨1居,558
D0H【奇幻暖屋】合生麒麟社简约舒适1居,558
青年路地铁6号线大悦城旁 温馨 大一居,478
天安门天坛王府井，地铁旁清新阳光套房,598
免费接或送机 新国展 温馨mini墅,438
天安门  故宫 北京站 同仁  协和医院,388
宋家庄地铁旁交通枢纽方便敞亮大一居,468
月租#29天安门CBD商圈地铁口三居室,658
【三元桥】燕莎/三源里温馨舒适一居室,358
地铁惠新西街南口温馨3人一居,368
古北水镇谷色之家温馨家庭房1号店,438
北京【三十三天】理工大学精装一居近地铁,238
CBD国贸百子湾梦幻色彩Loft,498
北京长城天安门圆明园清华大学温馨四人房,458
鸟巢水立方、中科院、北沙滩地铁15号两居,598
卜丁小屋（南站附近大两居观景房高层）,399
近天安门前门崇文门北京站精品一居公寓2,550
望京私享个性大床房,365
超豪华双卫两居室临近地铁,458
近生物医药基地地铁直达景点大两居,428
双地铁蒲黄榆爱家短租家庭双床房可住5人,588
方庄蒲黄榆双地铁楼上风情一居,428
温馨三居四号线地铁走路3分钟旅游度假优选,569
CBD国贸健身主题双床房直达天安门王府井,568
万寿路地铁口天安门北欧清新公寓可做饭,398
零距离地铁+精装loft+南锣鼓巷、后海,659
离10号线地铁仅30米近国贸天坛及南站,398
北京芒果假日公寓一室一厅,499
崇文门温馨大开间,458
宣武门（2号线）旁精装两居室近前门天安门,596
沿海超大loft四人田园风,588
首经贸地铁旁近北京西站南站天坛医院一居,358
远见雅舍-达官营地铁口近天安门-中式大宅,728
良乡大学城地铁 精装奢华loft一居室,298
北京市朝阳区潘家园南里二室一厅,456
古北水镇一室一厅园景套房 闲来小筑,498
【绿叶·商务复式】4号线50米LOFT,429
北京东长安街延线欧式奢华小两居,427
北京西直门 枫蓝之南,498
紧邻地铁5号线立水桥北苑路鸟巢简欧大床房,358
4号地铁高米店北站口北京南站15分钟三居,588
【鼓楼】南锣鼓巷后海公园旁复式一居,558
毗邻鸟巢水立方清华大学小米五彩城,365
[臻暖]鼓楼鸟巢天安门精装浪漫电梯房,568
北京西站301医院七里庄双地铁,628
良乡大学城.北京时代广场.LOFT长短租,268
北京临近国贸CBD大床房,458
北京西站六里桥地铁近301医院,458
国展三里屯太古里三元西桥超大双人浴缸,548
丹丹的家~~No.2,398
建国门商圈、广渠门外地铁站旁冠城名敦道,588
人民大学 优雅民宅理工北大清华两居08,568
临近国贸、双井、十号线地铁豪华大床房,438
奢华驿站 法式精品 4号线2大床房整租,388
北京望京悠乐汇清迈公寓,418
密云古北水镇休闲小筑小院,598
地中海风格精装小公寓,268
近新国展首都机场地铁国际学校免费接送机,598
回龙观8号线地铁阳光大床房（鸟巢直达）,288
五棵松万寿路地铁301医院韩式公主风公寓,398
良乡大学城地铁口～浪漫品质一居,248
2、北京阜外儿童北大第一医院简约两居,578
【绿叶·温馨小筑】4#西红门站 北京南站,399
古北水镇司马台全国唯美乡村公寓套房,445
鸟巢科技馆中科院306医院地铁15北沙滩,568
【印第安人】望京SOHO/798/阜通站,528
【安心6】距西红门地铁宜家200米大两居,299
国贸CBD百子湾地铁-清新·北欧loft,558
紧邻五号线奥森鸟巢北苑立水桥一居27,428
公主坟西站301医院一号线二居|城市栖迟,588
四号线西红门直达北京南站西单宜家荟聚两居,498
双地铁楼上北京南站崇文门东单精装一居,488
【麻雀】紧邻地铁 近北京南站 精致大床房,328
孔雀春舍-后海边雅致跃层,488
奇幻暖屋DOD国贸双井地铁舒适1居可长租,469
青年路地铁6号线大悦城旁边 温馨 大两居,698
首都机场新国展祥云小镇浪漫一居,366
长阳附近  良乡大学城 心悦诗风浪漫一居,269
回家公寓3*双大床近故宫王府井协和同仁,599
ABOB【奇幻暖屋】望京麒麟社温馨1居,558
天安门  同仁医院 故宫 宽敞明亮大床房,528
独立公寓一居亚运村鸟巢北辰购物中心,416
【北京站】长安街/王府井温馨怀旧两居室,558
阜成门地铁月坛北京儿童医院阜外医院两居,508
近天安门故宫王府井、地铁2、5、7崇文门,598
三里屯工体国贸朝阳医院十号线屯里悦动二居,698
奇幻暖屋DAO国贸三里屯双井温馨浪漫1居,479
望京SOHO/地铁/798/北欧投影一居,509
潘家园十里河附近古玩城肿瘤医院两室一厅,456
西站南站天安门故宫,528
国贸 大望路 传媒大学 地铁站【虚怀屋】,258
崇文门东单西单王府井天坛东门公寓,588
天安门南天坛北地铁口2～4人双床房,628
