title,price,area,diff
垂杨柳北里温馨舒适两居室拎包入住近地铁双井站,5900,48.42,chaoyang
重新装修 双面观景 三面采光 价格能谈 楼层好 有钥匙,38000,248.13,chaoyang
融科橄榄城南北向三居室，全明格局，明厨明卫自住装修,20000,147.92,chaoyang
南湖中园二区 2室1厅 7000元,7000,67.48,chaoyang
京师园3室2卫 南北通透 高层观景,12500,118.24,chaoyang
樱海园南向两居室 保养佳 精装全齐 拎包入住,25000,150.92,chaoyang
UHN国际村 2室1厅 15000元,15000,108.74,chaoyang
惠新西街南口两居室　租售房源　可短租半年也可签一年,6500,62.91,chaoyang
朝阳门 蓝筹名座 西向2居室 可办公可居住,16000,124.7,chaoyang
武圣西里 2室1厅 7000元,7000,57.68,chaoyang
世安家园 精装两居 家电齐全 随时入住 租期一年,9000,87.65,chaoyang
亚运村小营凯旋城精装三居 家电齐全 拎包入住,26000,187.64,chaoyang
全南全明两居 有车位 采光好 有钥匙 看房随时 可长租,12500,89.41,chaoyang
亮马桥 三源里南小街 干净正规两居 南北通透 看房预约,7200,61.52,chaoyang
首城国际写字楼 办公可注册，位置好,13500,62.85,chaoyang
三全公寓 2室1厅 22000元,22000,110.38,chaoyang
精装修一改二  可以随时看房 诚意出租,15000,92.13,chaoyang
北辰福第一号院 2室1厅 6500元,6500,82.73,chaoyang
太阳公元 3室2厅 26000元,26000,162.98,chaoyang
天创世缘南北三居室  随时入住,15000,164.58,chaoyang
垂杨柳北里温馨舒适两居室拎包入住交通便利,6200,63.43,chaoyang
欢乐谷华侨城大三居诚意出租 可长租,10000,129.96,chaoyang
海悦名门 2室1厅 17000元,17000,90.31,chaoyang
美然动力A3区 3室1厅 8600元,8600,120.83,chaoyang
天畅园 2室1厅 11500元,11500,132.81,chaoyang
扬州水乡上叠别墅，业主诚意出租,10000,203.3,chaoyang
西南大三居    精装   看房方便,19000,182.9,chaoyang
松榆西里 1室1厅 4800元,4800,47.55,chaoyang
江南山水 2室1厅 6500元,6500,95.81,chaoyang
乐想汇 2房间1卫 6000元,6000,68.07,chaoyang
美伦堡 2室1厅 14000元,14000,126.53,chaoyang
花家地小区 2室1厅 7960元,7960,55.51,chaoyang
华贸城 精装修LOFT  价格有可聊空间 月底可入住,7500,52.8,chaoyang
美景东方两居室家具家电齐全出租,10000,105.79,chaoyang
美立方 4房间1卫 9000元,9000,101.27,chaoyang
罗马嘉园东区精装南北四居 拎包入住 家电全齐近地铁,15500,135.16,chaoyang
花家地北里 3室1厅 8000元,8000,69.65,chaoyang
嘉和丽园 2室1厅 15500元,15500,105.4,chaoyang
三源里街 2室1厅 7500元,7500,60.2,chaoyang
四环边，地铁旁，精装修，大三居，有钥匙！,13000,114.43,chaoyang
板楼南北三居，带电梯，近地铁，还临奥森，配套齐全,9500,121.3,chaoyang
